Section	Information/question	Keterangan
Terms & Condition - Pendaftaran Fight RAKYARD RUMBLE	(info only, tidak ada pertanyaan - isi teks T&C + ketentuan refund)	Teks informasi
Form Registrasi Fight RAKYARD RUMBLE	Nama Lengkap	Isian singkat (wajib)
	Umur	Isian singkat - Angka (wajib)
	Jenis Kelamin	Pilihan ganda (wajib) - Opsi: Laki - laki
	Asal Universitas	Isian singkat (opsional - kosongkan jika tidak ada)
	Nomor Whatsapp	Isian singkat - Nomor Telepon (wajib)
	Username Instagram	Isian singkat (wajib)
Riwayat Pengalaman Pertandingan Individu	Pengalaman tanding individu	Pilihan ganda (wajib) - Opsi: Debut (belum pernah bertanding - 3 kali) / Amatir (sudah pernah bertanding diatas 3 kali)
	Riwayat Cedera atau Riwayat medis lainnya	Isian singkat (opsional - kosongkan jika tidak ada)
	Berasal dari camp/sasana mana kah anda?	Isian singkat (opsional - kosongkan jika tidak ada)
Pemilihan Golongan Kelas Tinju	Kelas Berat Tinju	Pilihan ganda (wajib) - Opsi: Super Heavyweight (92 kg+) / Heavyweight (86-92 kg) / Cruiserweight (80-86 kg) / Light Heavyweight (75-80 kg) / Middleweight (71-75 kg) / Light Middleweight (67-71 kg) / Welterweight (63,5-67 kg) / Lightweight (60-63,5 kg) / Featherweight (57-60 kg) / Bantamweight (54-57 kg) / Flyweight (51-54 kg) / Light Flyweight (below 51kg)
Data Cornerman	Nama Cornerman 1	Isian singkat (wajib)
	Nama Cornerman 2	Isian singkat (wajib)
Dokumen Pendukung	Nomor KTP/KK	Isian singkat (wajib)
	Berat badan dalam KILOGRAM (KG)	Isian singkat - Angka (wajib)
	Tinggi badan dalam Centimeter (CM)	Isian singkat - Angka (wajib)
	Ukuran baju (untuk pertandingan)	Pilihan ganda (wajib) - Opsi: S / M / L / XL / XXL
	Foto KTP/KK	Upload file - Image, maks 100 MB (wajib)
	Link video Shadow Boxing/Tanding	Isian singkat - Link (wajib)
	Surat Pernyataan Kesediaan Bertanding	Isian singkat - Link (wajib)
